employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
74747,Technology,region_7,Master's & above,m,other,1,38,4,2,1,0,77,0
74748,HR,region_2,Bachelor's,m,sourcing,1,35,4,3,1,0,50,0
74751,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,30,1,6,0,0,48,0
74753,Operations,region_16,Bachelor's,f,sourcing,1,35,3,8,0,0,59,0
74755,Operations,region_22,Master's & above,f,sourcing,1,30,4,5,0,0,57,0
74756,Analytics,region_11,Bachelor's,m,sourcing,1,30,4,7,1,0,85,0
74757,Legal,region_15,Bachelor's,m,other,1,34,4,7,0,0,59,0
74760,Operations,region_22,Bachelor's,f,referred,2,35,4,9,0,0,60,0
74761,Sales & Marketing,region_25,Master's & above,m,sourcing,1,34,3,4,1,0,48,1
74762,HR,region_3,Bachelor's,f,other,1,31,3,7,0,0,61,1
74764,Procurement,region_20,Bachelor's,f,other,1,33,2,8,0,0,73,0
74769,Procurement,region_4,Bachelor's,m,sourcing,4,30,3,5,0,0,65,0
74770,Procurement,region_4,Bachelor's,f,other,1,29,3,7,0,0,68,0
74772,Technology,region_7,Bachelor's,f,other,4,30,4,7,1,0,80,0
74773,Sales & Marketing,region_28,Bachelor's,m,other,1,29,5,4,1,0,48,0
74775,Operations,region_16,Bachelor's,f,other,1,39,2,6,0,0,64,0
74778,Sales & Marketing,region_7,Bachelor's,f,other,1,31,5,5,1,0,48,0
74779,Analytics,region_11,Bachelor's,m,other,1,32,5,6,1,0,83,0
74782,Procurement,region_2,Bachelor's,f,sourcing,2,29,3,6,0,0,73,0
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4,7,0,0,58,0
74784,Sales & Marketing,region_23,Bachelor's,m,other,1,27,5,2,0,0,46,0
74785,Sales & Marketing,region_6,Bachelor's,m,other,1,34,2,10,0,0,53,0
74786,Analytics,region_32,Bachelor's,m,other,2,35,5,9,1,0,87,0
74787,Analytics,region_2,Bachelor's,m,sourcing,1,29,3,5,0,0,86,0
74788,Legal,region_22,Bachelor's,m,sourcing,1,31,1,2,0,0,58,0
74789,Operations,region_13,Master's & above,f,sourcing,1,42,5,3,1,0,63,0
74790,HR,region_2,Bachelor's,m,sourcing,1,44,3,7,0,0,49,0
74791,Procurement,region_4,Master's & above,f,sourcing,1,39,4,8,0,0,66,0
74793,Sales & Marketing,region_7,Master's & above,m,sourcing,1,34,4,6,0,0,47,0
74796,Sales & Marketing,region_16,Bachelor's,m,other,1,42,3,6,0,0,48,0
74797,Procurement,region_2,Bachelor's,f,sourcing,1,30,3,5,1,1,70,1
74798,Operations,region_2,Master's & above,m,other,1,40,4,8,0,0,57,0
74799,Technology,region_31,Bachelor's,m,other,1,27,5,1,1,0,77,0
74800,Sales & Marketing,region_15,Bachelor's,f,other,1,26,3,2,1,0,48,0
74801,Sales & Marketing,region_21,Bachelor's,m,other,1,36,3,3,0,0,48,0
74802,Finance,region_2,Bachelor's,m,sourcing,1,27,3,5,0,0,59,0
74803,Sales & Marketing,region_7,Master's & above,m,other,2,36,3,4,0,0,48,0
74805,Sales & Marketing,region_11,Master's & above,m,other,1,38,2,10,0,0,48,0
74807,Sales & Marketing,region_27,Bachelor's,f,sourcing,1,30,4,2,1,0,63,1
74809,Operations,region_14,Bachelor's,m,other,1,37,3,8,0,0,63,0
74812,Operations,region_20,Bachelor's,m,other,1,33,5,10,1,0,59,0
74814,Procurement,region_15,Bachelor's,m,sourcing,1,30,4,2,1,0,75,0
74817,Technology,region_2,Bachelor's,m,other,2,48,3,21,0,0,80,0
74818,Operations,region_26,Bachelor's,f,other,1,43,4,15,0,0,60,0
74819,Operations,region_7,Master's & above,f,sourcing,2,40,3,6,0,0,58,0
74820,Procurement,region_17,Bachelor's,m,sourcing,2,32,1,7,0,0,65,0
74821,Operations,region_7,Master's & above,f,sourcing,1,34,1,9,0,0,63,0
74825,Operations,region_22,Bachelor's,f,sourcing,1,26,3,5,0,0,60,0
74826,Sales & Marketing,region_2,Master's & above,m,other,1,42,3,9,1,0,52,0
74830,Sales & Marketing,region_2,Bachelor's,m,referred,1,42,3,3,1,0,48,0
74832,Sales & Marketing,region_2,Master's & above,m,other,1,44,5,6,0,0,53,0
74833,Operations,region_26,Bachelor's,f,other,1,29,4,6,0,0,58,0
74834,Sales & Marketing,region_30,Bachelor's,m,other,1,29,4,4,1,0,49,0
74835,Sales & Marketing,region_15,Bachelor's,m,other,1,33,5,7,1,0,53,0
74836,Sales & Marketing,region_10,Bachelor's,m,other,2,32,4,5,0,0,54,0
74839,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,40,5,10,1,0,51,0
74842,HR,region_11,Bachelor's,f,sourcing,1,34,3,5,0,0,47,0
74843,Sales & Marketing,region_2,Bachelor's,m,other,1,44,3,7,1,0,52,1
74844,Procurement,region_15,Master's & above,f,sourcing,1,37,5,7,1,0,65,0
74845,Procurement,region_17,Master's & above,m,sourcing,1,37,1,5,1,0,71,0
74846,Legal,region_2,Master's & above,f,sourcing,1,46,3,14,1,0,55,0
74847,Analytics,region_22,Master's & above,m,other,1,27,4,2,1,0,83,0
74848,Sales & Marketing,region_12,Bachelor's,m,other,1,32,5,3,1,0,48,0
74850,Finance,region_2,Bachelor's,f,sourcing,2,27,3,2,0,0,60,0
74852,Technology,region_15,Master's & above,m,sourcing,1,41,2,11,1,0,79,1
74854,Operations,region_31,Bachelor's,m,sourcing,1,37,4,3,0,0,65,0
74856,Operations,region_15,Bachelor's,m,sourcing,1,39,3,8,0,0,70,1
74857,Sales & Marketing,region_2,Master's & above,m,other,1,52,5,7,1,0,51,0
74858,Technology,region_2,Bachelor's,m,sourcing,1,42,1,8,0,0,79,0
74859,Sales & Marketing,region_25,Master's & above,m,other,2,44,1,5,0,0,53,0
74860,Operations,region_7,Bachelor's,f,other,1,30,3,2,0,0,52,0
74861,Finance,region_7,Master's & above,f,other,2,36,5,9,1,0,60,0
74862,Operations,region_2,Master's & above,f,sourcing,1,51,5,12,0,0,62,0
74863,Sales & Marketing,region_4,Bachelor's,m,sourcing,3,32,3,4,1,0,46,0
74864,Procurement,region_4,Master's & above,m,sourcing,1,51,5,2,1,0,64,0
74865,Sales & Marketing,region_25,Bachelor's,m,other,1,28,5,7,1,0,51,0
74873,Sales & Marketing,region_11,Master's & above,m,other,1,33,3,4,0,0,54,0
74875,Analytics,region_28,Bachelor's,m,other,1,39,5,7,1,0,85,1
74876,Operations,region_31,Bachelor's,m,sourcing,1,30,3,8,0,0,57,0
74877,Technology,region_22,Bachelor's,f,sourcing,1,35,3,9,0,0,78,0
74879,Analytics,region_31,Bachelor's,m,other,1,37,5,4,1,0,89,0
74880,Analytics,region_28,Bachelor's,m,sourcing,2,27,4,4,1,0,78,1
74881,Operations,region_21,Master's & above,m,sourcing,1,48,5,7,1,0,62,0
74883,Sales & Marketing,region_11,Bachelor's,m,other,1,23,3,2,0,0,49,0
74884,Sales & Marketing,region_2,Master's & above,m,other,1,45,3,16,0,0,46,0
74885,Operations,region_2,Bachelor's,f,sourcing,1,52,5,16,1,0,54,0
74886,Procurement,region_20,Master's & above,f,sourcing,1,32,3,8,0,0,72,0
74887,Technology,region_28,Bachelor's,m,other,1,29,3,2,0,0,75,0
74892,Analytics,region_22,Bachelor's,m,sourcing,1,27,3,4,0,0,83,0
74893,Operations,region_2,Bachelor's,f,sourcing,1,41,3,10,0,0,56,0
74898,Analytics,region_31,Bachelor's,m,other,2,27,4,3,0,1,85,0
74901,Analytics,region_31,Master's & above,m,sourcing,1,30,3,6,0,0,84,0
74902,Sales & Marketing,region_31,Bachelor's,m,other,1,33,3,6,0,0,50,0
74906,Operations,region_9,Bachelor's,m,other,1,26,4,2,0,0,62,0
74909,Technology,region_22,Master's & above,m,sourcing,2,39,2,5,0,0,79,0
74910,Sales & Marketing,region_22,Master's & above,f,sourcing,1,40,2,11,0,0,55,0
74912,Sales & Marketing,region_25,Bachelor's,m,other,1,32,4,3,0,0,46,0
74915,Operations,region_4,Bachelor's,f,other,1,34,5,10,1,0,60,0
74918,Analytics,region_26,Bachelor's,m,other,1,31,5,7,0,0,87,0
74919,Finance,region_7,Bachelor's,f,other,1,27,4,5,0,0,61,0
74920,Procurement,region_17,Bachelor's,m,other,1,27,3,5,1,0,68,0
74921,R&D,region_22,Bachelor's,m,sourcing,1,32,1,5,0,0,86,0
74923,Technology,region_26,Bachelor's,m,sourcing,1,39,5,10,1,0,81,0
74924,Analytics,region_22,Bachelor's,m,referred,1,29,4,4,1,0,82,0
74925,Analytics,region_34,Bachelor's,m,sourcing,1,30,3,5,0,0,84,0
74927,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,41,3,3,0,0,46,0
74928,Technology,region_2,Master's & above,m,other,1,37,3,7,1,0,78,0
74930,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,28,5,5,1,0,51,0
74931,Technology,region_1,Bachelor's,m,sourcing,1,27,3,2,0,0,80,0
74932,Operations,region_22,Bachelor's,m,sourcing,1,41,4,13,1,0,62,0
74933,Sales & Marketing,region_4,Master's & above,m,sourcing,1,35,3,3,1,0,54,1
74935,Sales & Marketing,region_14,Bachelor's,f,sourcing,1,33,1,8,0,0,49,0
74936,Finance,region_2,Bachelor's,f,other,2,48,3,4,0,0,60,0
